"Label (Grouping)","Alameda County, California!!Total!!Estimate","Alameda County, California!!Median income (dollars)!!Estimate","Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Median income (dollars)!!Estimate","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Median income (dollars)!!Estimate","San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Median income (dollars)!!Estimate","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Median income (dollars)!!Estimate","Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"Households","537,410","67,169","367,883","73,721","336,012","71,745","257,509","82,748","599,235","85,002","185,711","59,055"
"One race--","","","","","","","","","","","",""
"    White","51.3%","76,110","70.5%","76,227","59.2%","86,837","65.1%","82,743","57.1%","82,576","88.6%","60,002"
"    Black or African American","14.8%","38,188","9.4%","52,635","6.5%","29,409","3.0%","56,369","2.5%","52,972","N","58,595"
"    American Indian and Alaska Native","0.5%","46,205","N","79,132","N","56,151","N","91,262","0.5%","51,697","N","53,082"
"    Asian","23.1%","79,963","12.4%","91,653","27.3%","60,914","22.3%","96,685","29.7%","106,373","3.1%","65,809"
"    Native Hawaiian and Other Pacific Islander","0.6%","47,028","N","N","N","75,044","N","102,478","N","90,926","N","67,434"
"    Some other race","5.9%","51,335","4.2%","52,241","3.2%","46,245","4.7%","58,217","7.4%","47,966","4.1%","44,559"
"Two or more races","3.7%","66,422","2.8%","60,336","2.9%","39,778","3.5%","81,465","2.5%","68,629","1.6%","59,005"
"Hispanic or Latino origin (of any race)","15.9%","52,265","17.3%","55,659","10.7%","56,861","18.2%","62,187","20.1%","49,996","16.0%","45,567"
"White alone, not Hispanic or Latino","42.7%","82,029","58.2%","82,271","52.3%","91,064","53.2%","90,635","45.4%","92,229","77.7%","61,776"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"    15 to 24 years","3.6%","35,421","2.5%","31,911","4.2%","34,497","2.3%","61,446","2.4%","31,486","3.4%","45,816"
"    25 to 44 years","37.4%","70,719","33.0%","75,749","42.4%","96,742","33.9%","93,890","38.9%","96,792","29.7%","62,543"
"    45 to 64 years","40.6%","80,017","43.2%","91,739","33.6%","73,119","42.3%","96,555","40.3%","99,361","43.7%","66,135"
"    65 years and over","18.3%","43,218","21.3%","51,272","19.9%","33,002","21.5%","49,586","18.4%","45,887","23.1%","44,749"
"FAMILIES","","","","","","","","","","","",""
"    Families","350,206","81,436","261,686","87,362","149,581","82,213","171,215","98,757","424,866","96,555","115,885","70,450"
"        With own children under 18 years","47.6%","78,814","47.1%","85,400","36.1%","79,875","47.3%","106,958","48.6%","100,634","45.1%","65,913"
"        With no own children under 18 years","52.4%","83,206","52.9%","88,900","63.9%","82,741","52.7%","90,752","51.4%","92,858","54.9%","75,251"
"    Married-couple families","72.5%","100,730","75.7%","104,373","72.8%","102,380","77.4%","112,192","78.0%","111,223","75.6%","82,065"
"    Female householder, no husband present","19.8%","39,107","16.9%","42,155","19.0%","43,777","16.4%","61,206","15.0%","45,489","14.7%","39,897"
"    Male householder, no wife present","7.7%","52,114","7.4%","57,779","8.2%","56,354","6.2%","64,847","7.0%","69,897","9.7%","47,135"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","",""
"    Nonfamily households","187,204","42,000","106,197","45,372","186,431","57,095","86,294","52,824","174,369","52,438","69,826","38,867"
"    Female householder","52.2%","37,643","57.5%","41,043","48.6%","50,547","54.9%","50,574","50.8%","42,335","57.0%","35,035"
"        Living alone","41.0%","31,865","47.2%","33,910","36.1%","36,739","44.4%","41,402","41.0%","36,208","46.4%","30,183"
"        Not living alone","11.2%","69,198","10.3%","82,523","12.5%","90,007","10.5%","90,123","9.8%","87,716","10.6%","64,962"
"    Male householder","47.8%","46,668","42.5%","49,796","51.4%","65,797","45.1%","58,418","49.2%","66,562","43.0%","41,741"
"        Living alone","35.6%","40,730","33.2%","43,765","35.4%","50,177","35.2%","47,687","35.4%","55,044","28.0%","31,747"
"        Not living alone","12.2%","68,362","9.3%","79,271","16.0%","114,293","9.8%","104,014","13.8%","96,894","15.0%","60,484"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Household income in the past 12 months","24.1%","(X)","27.9%","(X)","28.7%","(X)","25.9%","(X)","28.3%","(X)","27.2%","(X)"
"    Family income in the past 12 months","23.3%","(X)","28.3%","(X)","30.2%","(X)","25.9%","(X)","29.2%","(X)","27.0%","(X)"
"    Nonfamily income in the past 12 months","23.7%","(X)","23.8%","(X)","26.2%","(X)","23.0%","(X)","22.7%","(X)","25.3%","(X)"
